"AnimalID","sdAll","sdNoMix","baseAll","baseNoMix"
"140040","mixmig","resident","mixmig","resident"
"140050","mixmig","resident","mixmig","resident"
"140060","mixmig","resident","mixmig","resident"
"140070","mixmig","migrant","mixmig","migrant"
"140100","resident","resident","resident","resident"
"140120","mixmig","disperser","mixmig","disperser"
"140290","mixmig","migrant","mixmig","migrant"
"140300","mixmig","migrant","mixmig","migrant"
"140320","mixmig","resident","mixmig","resident"
"140340","mixmig","migrant","mixmig","migrant"
"140380","resident","resident","resident","resident"
"140400","mixmig","migrant","mixmig","migrant"
"140480","mixmig","migrant","mixmig","migrant"
"140560","mixmig","migrant","mixmig","migrant"
"140600","mixmig","migrant","mixmig","migrant"
"140630","mixmig","migrant","mixmig","migrant"
"140650","mixmig","migrant","mixmig","migrant"
"140680","mixmig","migrant","mixmig","migrant"
"140710","resident","resident","resident","resident"
"140800","mixmig","migrant","mixmig","migrant"
"140850","mixmig","migrant","mixmig","migrant"
"140890","mixmig","disperser","mixmig","disperser"
"140910","mixmig","migrant","mixmig","migrant"
"140940","mixmig","migrant","mixmig","migrant"
"140960","mixmig","migrant","mixmig","migrant"
"140980","mixmig","migrant","mixmig","migrant"
"141000","mixmig","migrant","mixmig","migrant"
"141010","mixmig","resident","mixmig","resident"
"141060","mixmig","migrant","mixmig","migrant"
"141070","mixmig","migrant","mixmig","migrant"
"141080","resident","resident","resident","resident"
"141090","resident","resident","resident","resident"
"141100","mixmig","resident","mixmig","resident"
"141120","mixmig","migrant","mixmig","migrant"
"141130","mixmig","migrant","mixmig","migrant"
"141150","mixmig","disperser","mixmig","disperser"
"141160","mixmig","migrant","mixmig","migrant"
"141490","mixmig","disperser","mixmig","disperser"
"15001","mixmig","migrant","mixmig","migrant"
"15002","mixmig","migrant","mixmig","migrant"
"15004","resident","resident","resident","resident"
"15006","nomad","nomad","nomad","nomad"
"15009","migrant","migrant","migrant","migrant"
"15011","mixmig","disperser","mixmig","disperser"
"15012","migrant","migrant","migrant","migrant"
"15015","migrant","migrant","migrant","migrant"
"15018","resident","resident","resident","resident"
"15019","mixmig","migrant","mixmig","migrant"
"15020","mixmig","migrant","mixmig","migrant"
"15022","mixmig","migrant","mixmig","migrant"
"15023","mixmig","disperser","mixmig","disperser"
"15024","nomad","nomad","nomad","nomad"
"15028","mixmig","resident","mixmig","resident"
"15029","migrant","migrant","migrant","migrant"
"15031","mixmig","disperser","mixmig","disperser"
"15036","mixmig","migrant","mixmig","migrant"
"150360","nomad","nomad","nomad","nomad"
"15042","resident","resident","resident","resident"
"15044","resident","resident","resident","resident"
"15045","mixmig","migrant","mixmig","migrant"
"15047","mixmig","migrant","mixmig","migrant"
"15048","resident","resident","resident","resident"
"150920","mixmig","migrant","mixmig","migrant"
"151110","resident","resident","resident","resident"
"185416","migrant","migrant","migrant","migrant"
"185417","mixmig","migrant","mixmig","migrant"
"185418","mixmig","migrant","mixmig","migrant"
"185419","mixmig","migrant","mixmig","migrant"
"185420","mixmig","resident","mixmig","resident"
"185421","resident","resident","resident","resident"
"185426","mixmig","resident","mixmig","resident"
"185427","mixmig","disperser","mixmig","disperser"
"185435","mixmig","migrant","mixmig","migrant"
"185436","mixmig","migrant","mixmig","migrant"
"185437","mixmig","migrant","mixmig","migrant"
"185438","mixmig","migrant","mixmig","migrant"
"185439","mixmig","migrant","mixmig","migrant"
"185440","mixmig","resident","mixmig","resident"
"185441","resident","resident","resident","resident"
"185442","mixmig","migrant","mixmig","migrant"
"185443","mixmig","disperser","mixmig","disperser"
"185444","mixmig","migrant","mixmig","migrant"
"185445","mixmig","migrant","mixmig","migrant"
"185446","mixmig","migrant","mixmig","migrant"
"185447","migrant","migrant","migrant","migrant"
"185448","mixmig","migrant","mixmig","migrant"
"185451","mixmig","disperser","mixmig","disperser"
"185452","mixmig","migrant","mixmig","migrant"
"185455","migrant","migrant","migrant","migrant"
"185457","mixmig","migrant","mixmig","migrant"
"185458","mixmig","migrant","mixmig","migrant"
"185459","mixmig","disperser","mixmig","disperser"
"185460","mixmig","migrant","mixmig","migrant"
"185461","mixmig","migrant","mixmig","migrant"
"185462","mixmig","migrant","mixmig","migrant"
